,LMA,MinPrice,MaxPrice,MARKET,STRATEGY,OUT
1417,290,14,10,1.2189619644994159,1.0,-0.21896196449941585
1419,290,14,14,1.2189619644994159,1.0,-0.21896196449941585
1418,290,14,12,1.2189619644994159,1.0,-0.21896196449941585
1405,290,12,4,1.2189619644994159,1.0,-0.21896196449941585
1416,290,14,8,1.2189619644994159,1.0,-0.21896196449941585
1415,290,14,6,1.2189619644994159,1.0,-0.21896196449941585
1275,270,14,14,1.5104659769276736,1.0,-0.5104659769276736
1274,270,14,12,1.5104659769276736,1.0,-0.5104659769276736
1273,270,14,10,1.5104659769276736,1.0,-0.5104659769276736
1272,270,14,8,1.5104659769276736,1.0,-0.5104659769276736
1271,270,14,6,1.5104659769276736,1.0,-0.5104659769276736
1270,270,14,4,1.5104659769276736,1.0,-0.5104659769276736
1269,270,14,2,1.5104659769276736,1.0,-0.5104659769276736
1268,270,12,18,1.5104659769276736,1.0,-0.5104659769276736
1267,270,12,16,1.5104659769276736,1.0,-0.5104659769276736
1266,270,12,14,1.5104659769276736,1.0,-0.5104659769276736
1276,270,14,16,1.5104659769276736,1.0,-0.5104659769276736
1264,270,12,10,1.5104659769276736,1.0,-0.5104659769276736
1263,270,12,8,1.5104659769276736,1.0,-0.5104659769276736
1262,270,12,6,1.5104659769276736,1.0,-0.5104659769276736
1261,270,12,4,1.5104659769276736,1.0,-0.5104659769276736
1265,270,12,12,1.5104659769276736,1.0,-0.5104659769276736
1293,270,18,14,1.5104659769276736,1.0,-0.5104659769276736
1277,270,14,18,1.5104659769276736,1.0,-0.5104659769276736
1278,270,16,2,1.5104659769276736,1.0,-0.5104659769276736
1259,270,10,18,1.5104659769276736,1.0,-0.5104659769276736
1292,270,18,12,1.5104659769276736,1.0,-0.5104659769276736
1291,270,18,10,1.5104659769276736,1.0,-0.5104659769276736
1290,270,18,8,1.5104659769276736,1.0,-0.5104659769276736
1289,270,18,6,1.5104659769276736,1.0,-0.5104659769276736
1288,270,18,4,1.5104659769276736,1.0,-0.5104659769276736
1287,270,18,2,1.5104659769276736,1.0,-0.5104659769276736
1286,270,16,18,1.5104659769276736,1.0,-0.5104659769276736
1285,270,16,16,1.5104659769276736,1.0,-0.5104659769276736
1284,270,16,14,1.5104659769276736,1.0,-0.5104659769276736
1283,270,16,12,1.5104659769276736,1.0,-0.5104659769276736
1282,270,16,10,1.5104659769276736,1.0,-0.5104659769276736
1281,270,16,8,1.5104659769276736,1.0,-0.5104659769276736
1280,270,16,6,1.5104659769276736,1.0,-0.5104659769276736
1279,270,16,4,1.5104659769276736,1.0,-0.5104659769276736
1260,270,12,2,1.5104659769276736,1.0,-0.5104659769276736
1241,270,6,18,1.5104659769276736,1.0,-0.5104659769276736
1258,270,10,16,1.5104659769276736,1.0,-0.5104659769276736
1257,270,10,14,1.5104659769276736,1.0,-0.5104659769276736
1237,270,6,10,1.5104659769276736,1.0,-0.5104659769276736
1236,270,6,8,1.5104659769276736,1.0,-0.5104659769276736
1235,270,6,6,1.5104659769276736,1.0,-0.5104659769276736
1234,270,6,4,1.5104659769276736,1.0,-0.5104659769276736
1233,270,6,2,1.5104659769276736,1.0,-0.5104659769276736
1232,270,4,18,1.5104659769276736,1.0,-0.5104659769276736
1231,270,4,16,1.5104659769276736,1.0,-0.5104659769276736
1230,270,4,14,1.5104659769276736,1.0,-0.5104659769276736
1229,270,4,12,1.5104659769276736,1.0,-0.5104659769276736
1228,270,4,10,1.5104659769276736,1.0,-0.5104659769276736
1227,270,4,8,1.5104659769276736,1.0,-0.5104659769276736
1226,270,4,6,1.5104659769276736,1.0,-0.5104659769276736
1225,270,4,4,1.5104659769276736,1.0,-0.5104659769276736
1224,270,4,2,1.5104659769276736,1.0,-0.5104659769276736
1295,270,18,18,1.5104659769276736,1.0,-0.5104659769276736
1238,270,6,12,1.5104659769276736,1.0,-0.5104659769276736
1239,270,6,14,1.5104659769276736,1.0,-0.5104659769276736
1240,270,6,16,1.5104659769276736,1.0,-0.5104659769276736
1250,270,8,18,1.5104659769276736,1.0,-0.5104659769276736
1256,270,10,12,1.5104659769276736,1.0,-0.5104659769276736
1255,270,10,10,1.5104659769276736,1.0,-0.5104659769276736
1254,270,10,8,1.5104659769276736,1.0,-0.5104659769276736
1253,270,10,6,1.5104659769276736,1.0,-0.5104659769276736
1252,270,10,4,1.5104659769276736,1.0,-0.5104659769276736
1251,270,10,2,1.5104659769276736,1.0,-0.5104659769276736
1249,270,8,16,1.5104659769276736,1.0,-0.5104659769276736
1242,270,8,2,1.5104659769276736,1.0,-0.5104659769276736
1248,270,8,14,1.5104659769276736,1.0,-0.5104659769276736
1247,270,8,12,1.5104659769276736,1.0,-0.5104659769276736
1246,270,8,10,1.5104659769276736,1.0,-0.5104659769276736
1245,270,8,8,1.5104659769276736,1.0,-0.5104659769276736
1244,270,8,6,1.5104659769276736,1.0,-0.5104659769276736
1243,270,8,4,1.5104659769276736,1.0,-0.5104659769276736
1294,270,18,16,1.5104659769276736,1.0,-0.5104659769276736
1314,280,8,2,1.5429163159997616,1.0,-0.5429163159997616
1296,280,4,2,1.5429163159997616,1.0,-0.5429163159997616
1333,280,12,4,1.5429163159997616,1.0,-0.5429163159997616
1297,280,4,4,1.5429163159997616,1.0,-0.5429163159997616
1348,280,14,16,1.5429163159997616,1.0,-0.5429163159997616
1347,280,14,14,1.5429163159997616,1.0,-0.5429163159997616
1346,280,14,12,1.5429163159997616,1.0,-0.5429163159997616
1345,280,14,10,1.5429163159997616,1.0,-0.5429163159997616
1344,280,14,8,1.5429163159997616,1.0,-0.5429163159997616
1343,280,14,6,1.5429163159997616,1.0,-0.5429163159997616
1342,280,14,4,1.5429163159997616,1.0,-0.5429163159997616
1341,280,14,2,1.5429163159997616,1.0,-0.5429163159997616
1340,280,12,18,1.5429163159997616,1.0,-0.5429163159997616
1339,280,12,16,1.5429163159997616,1.0,-0.5429163159997616
1338,280,12,14,1.5429163159997616,1.0,-0.5429163159997616
1337,280,12,12,1.5429163159997616,1.0,-0.5429163159997616
1336,280,12,10,1.5429163159997616,1.0,-0.5429163159997616
1335,280,12,8,1.5429163159997616,1.0,-0.5429163159997616
1350,280,16,2,1.5429163159997616,1.0,-0.5429163159997616
1351,280,16,4,1.5429163159997616,1.0,-0.5429163159997616
1352,280,16,6,1.5429163159997616,1.0,-0.5429163159997616
1361,280,18,6,1.5429163159997616,1.0,-0.5429163159997616
1367,280,18,18,1.5429163159997616,1.0,-0.5429163159997616
1366,280,18,16,1.5429163159997616,1.0,-0.5429163159997616
1365,280,18,14,1.5429163159997616,1.0,-0.5429163159997616
1364,280,18,12,1.5429163159997616,1.0,-0.5429163159997616
1363,280,18,10,1.5429163159997616,1.0,-0.5429163159997616
1362,280,18,8,1.5429163159997616,1.0,-0.5429163159997616
1360,280,18,4,1.5429163159997616,1.0,-0.5429163159997616
1353,280,16,8,1.5429163159997616,1.0,-0.5429163159997616
