,Unnamed: 0,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,post_only,limit_only,cancel_only,trading_disabled,status,status_message
22,22,SNX-GBP,SNX,GBP,0.1,19000.0,0.0001,0.001,SNX/GBP,1.0,82000.0,False,False,False,False,False,online,
23,23,BAND-USD,BAND,USD,0.1,18000.0,0.0001,0.01,BAND/USD,1.0,100000.0,False,False,False,False,False,online,
24,24,LINK-EUR,LINK,EUR,1.0,90000.0,1e-05,0.01,LINK/EUR,10.0,100000.0,False,False,False,False,False,online,
25,25,KNC-USD,KNC,USD,1.0,500000.0,0.0001,0.1,KNC/USD,1.0,100000.0,False,False,False,False,False,online,
26,26,BTC-USDC,BTC,USDC,0.001,280.0,0.01,1e-08,BTC/USDC,10.0,1000000.0,False,False,False,False,False,online,
27,27,LINK-BTC,LINK,BTC,0.1,6500.0,1e-08,0.01,LINK/BTC,0.0001,6.0,False,False,False,False,False,online,
28,28,LINK-USD,LINK,USD,1.0,90000.0,1e-05,0.01,LINK/USD,10.0,100000.0,False,False,False,False,False,online,
29,29,BNT-GBP,BNT,GBP,1.0,95000.0,0.0001,1e-06,BNT/GBP,1.0,82000.0,False,False,False,False,False,online,
30,30,XLM-USD,XLM,USD,1.0,600000.0,1e-06,1.0,XLM/USD,0.1,100000.0,False,False,False,False,False,online,
31,31,NU-BTC,NU,BTC,10.0,1300000.0,1e-08,1.0,NU/BTC,0.0001,6.0,False,False,False,False,False,online,
32,32,NU-EUR,NU,EUR,10.0,1300000.0,0.0001,1e-06,NU/EUR,1.0,84000.0,False,False,False,False,False,online,
33,33,UMA-BTC,UMA,BTC,0.01,4500.0,1e-08,0.001,UMA/BTC,0.0001,10.0,False,False,False,False,False,online,
34,34,YFI-BTC,YFI,BTC,1e-05,4.2,1e-05,1e-06,YFI/BTC,0.0001,6.0,False,False,False,False,False,online,
35,35,ZEC-BTC,ZEC,BTC,0.01,1500.0,1e-06,0.0001,ZEC/BTC,0.001,30.0,False,False,False,False,False,online,
36,36,GRT-USD,GRT,USD,10.0,2500000.0,0.0001,0.01,GRT/USD,10.0,2500000.0,False,False,False,False,False,online,
37,37,XRP-USD,XRP,USD,1.0,500000.0,0.0001,1e-06,XRP/USD,10.0,100000.0,False,False,True,False,False,online,
38,38,FIL-BTC,FIL,BTC,0.01,3400.0,1e-08,0.001,FIL/BTC,0.0001,6.0,False,False,False,False,False,online,
39,39,NU-USD,NU,USD,10.0,1300000.0,0.0001,1e-06,NU/USD,1.0,100000.0,False,False,False,False,False,online,
41,41,ATOM-BTC,ATOM,BTC,0.1,25000.0,1e-06,0.1,ATOM/BTC,0.001,30.0,False,False,False,False,False,online,
42,42,BAND-EUR,BAND,EUR,0.1,18000.0,0.0001,0.01,BAND/EUR,1.0,100000.0,False,False,False,False,False,online,
43,43,BCH-BTC,BCH,BTC,0.01,400.0,1e-05,1e-08,BCH/BTC,0.001,60.0,False,False,False,False,False,online,
44,44,REP-USD,REP,USD,0.1,5000.0,0.01,1e-06,REP/USD,10.0,30000.0,False,False,False,False,False,online,
45,45,BAND-GBP,BAND,GBP,0.1,18000.0,0.0001,0.01,BAND/GBP,1.0,100000.0,False,False,False,False,False,online,
46,46,LRC-USD,LRC,USD,1.0,560000.0,0.0001,1e-06,LRC/USD,1.0,100000.0,False,False,False,False,False,online,
47,47,LINK-GBP,LINK,GBP,1.0,90000.0,1e-05,0.01,LINK/GBP,10.0,100000.0,False,False,False,False,False,online,
48,48,DASH-BTC,DASH,BTC,0.01,1500.0,1e-08,0.001,DASH/BTC,0.0001,10.0,False,False,False,False,False,online,
49,49,NU-GBP,NU,GBP,10.0,1300000.0,0.0001,1e-06,NU/GBP,1.0,75000.0,False,False,False,False,False,online,
50,50,XLM-BTC,XLM,BTC,1.0,600000.0,1e-08,1.0,XLM/BTC,0.001,50.0,False,False,False,False,False,online,
51,51,CVC-USDC,CVC,USDC,1.0,2000000.0,1e-06,1.0,CVC/USDC,0.1,100000.0,False,False,True,False,False,online,
52,52,XRP-GBP,XRP,GBP,1.0,500000.0,0.0001,1e-06,XRP/GBP,10.0,100000.0,False,False,True,False,False,online,
53,53,UMA-GBP,UMA,GBP,0.01,4500.0,0.001,0.001,UMA/GBP,1.0,100000.0,False,False,False,False,False,online,
54,54,XRP-BTC,XRP,BTC,1.0,500000.0,1e-08,1.0,XRP/BTC,0.001,30.0,False,False,True,False,False,online,
55,55,LRC-BTC,LRC,BTC,1.0,440000.0,1e-08,1.0,LRC/BTC,0.0001,6.0,False,False,False,False,False,online,
56,56,NMR-BTC,NMR,BTC,0.01,3900.0,1e-08,0.001,NMR/BTC,0.0001,10.0,False,False,False,False,False,online,
57,57,EOS-USD,EOS,USD,0.1,50000.0,0.001,0.1,EOS/USD,10.0,100000.0,False,False,False,False,False,online,
58,58,AAVE-EUR,AAVE,EUR,0.01,1200.0,0.001,0.001,AAVE/EUR,1.0,92000.0,False,False,True,False,False,online,
59,59,ETH-USDC,ETH,USDC,0.01,2800.0,0.01,1e-08,ETH/USDC,10.0,1000000.0,False,False,False,False,False,online,
60,60,UNI-BTC,UNI,BTC,0.1,25000.0,1e-08,0.1,UNI/BTC,0.0001,6.0,False,False,True,False,False,online,
61,61,DASH-USD,DASH,USD,0.01,1500.0,0.001,0.001,DASH/USD,1.0,100000.0,False,False,False,False,False,online,
62,62,OMG-USD,OMG,USD,1.0,500000.0,0.0001,0.1,OMG/USD,1.0,100000.0,False,False,False,False,False,online,
63,63,ZEC-USDC,ZEC,USDC,0.01,5000.0,0.01,1e-08,ZEC/USDC,10.0,250000.0,False,False,False,False,False,online,
64,64,ETH-EUR,ETH,EUR,0.01,1600.0,0.01,1e-08,ETH/EUR,10.0,400000.0,False,False,False,False,False,online,
65,65,LTC-EUR,LTC,EUR,0.1,1000.0,0.01,1e-08,LTC/EUR,10.0,250000.0,False,False,False,False,False,online,
66,66,ALGO-GBP,ALGO,GBP,1.0,500000.0,0.0001,1.0,ALGO/GBP,10.0,100000.0,False,False,False,False,False,online,
67,67,UNI-USD,UNI,USD,1.0,200000.0,0.0001,1e-06,UNI/USD,1.0,100000.0,False,False,False,False,False,online,
69,69,COMP-BTC,COMP,BTC,0.01,1700.0,1e-06,0.001,COMP/BTC,0.0001,10.0,False,False,False,False,False,online,
70,70,LTC-GBP,LTC,GBP,0.1,1000.0,0.01,1e-08,LTC/GBP,10.0,250000.0,False,False,False,False,False,online,
