date,time,Mid,Returns,Direction
1/29/2021,11:40:00,37045.94,0,-1
1/29/2021,11:10:00,36996.12,0.008112,1
1/29/2021,11:20:00,36662.87,-0.009049,-1
1/29/2021,11:30:00,37045.94,0.010394,1
1/29/2021,11:40:00,37265,0.005896,1
1/29/2021,11:50:00,37249.85,-0.000407,-1
1/29/2021,11:20:00,36662.87,-0.009049,-1
1/29/2021,11:30:00,37045.94,0.010394,1
1/29/2021,11:40:00,37265,0.005896,1
1/29/2021,11:50:00,37041.13,-0.006026,-1
1/29/2021,12:00:00,37037,-0.000112,-1
1/29/2021,11:30:00,37045.94,0.010394,1
1/29/2021,11:40:00,37265,0.005896,1
1/29/2021,11:50:00,37041.13,-0.006026,-1
1/29/2021,12:00:00,37115.43,0.002004,1
1/29/2021,12:10:00,37106.18,-0.000249,-1
1/29/2021,11:40:00,37265,0.005896,1
1/29/2021,11:50:00,37041.13,-0.006026,-1
1/29/2021,12:00:00,37115.43,0.002004,1
1/29/2021,12:10:00,36966.12,-0.004031,-1
1/29/2021,12:20:00,36968.98,0.000077,1
1/29/2021,11:50:00,37041.13,-0.006026,-1
1/29/2021,12:00:00,37115.43,0.002004,1
1/29/2021,12:10:00,36966.12,-0.004031,-1
1/29/2021,12:20:00,36720.07,-0.006678,-1
1/29/2021,12:30:00,36719.91,-0.000004,-1
1/29/2021,12:00:00,37115.43,0.002004,1
1/29/2021,12:10:00,36966.12,-0.004031,-1
1/29/2021,12:20:00,36720.07,-0.006678,-1
1/29/2021,12:30:00,37204.45,0.013105,1
1/29/2021,12:40:00,37207.07,0.00007,1
1/29/2021,12:10:00,36966.12,-0.004031,-1
1/29/2021,12:20:00,36720.07,-0.006678,-1
1/29/2021,12:30:00,37204.45,0.013105,1
1/29/2021,12:40:00,37428.46,0.006003,1
1/29/2021,12:50:00,37449.99,0.000575,1
1/29/2021,12:20:00,36720.07,-0.006678,-1
1/29/2021,12:30:00,37204.45,0.013105,1
1/29/2021,12:40:00,37428.46,0.006003,1
1/29/2021,12:50:00,37501.88,0.00196,1
1/29/2021,13:00:00,37501.88,0,-1
1/29/2021,12:30:00,37204.45,0.013105,1
1/29/2021,12:40:00,37428.46,0.006003,1
1/29/2021,12:50:00,37501.88,0.00196,1
1/29/2021,13:00:00,37967.31,0.012334,1
1/29/2021,13:10:00,37955.5,-0.000311,-1
1/29/2021,12:40:00,37428.46,0.006003,1
1/29/2021,12:50:00,37501.88,0.00196,1
1/29/2021,13:00:00,37967.31,0.012334,1
1/29/2021,13:10:00,37374.77,-0.01573,-1
1/29/2021,13:20:00,37376.99,0.000059,1
1/29/2021,12:50:00,37501.88,0.00196,1
1/29/2021,13:00:00,37967.31,0.012334,1
1/29/2021,13:10:00,37374.77,-0.01573,-1
1/29/2021,13:20:00,37328.83,-0.00123,-1
1/29/2021,13:30:00,37324.17,-0.000125,-1
1/29/2021,13:00:00,37967.31,0.012334,1
1/29/2021,13:10:00,37374.77,-0.01573,-1
1/29/2021,13:20:00,37328.83,-0.00123,-1
1/29/2021,13:30:00,37457.74,0.003447,1
1/29/2021,13:40:00,37454.83,-0.000078,-1
1/29/2021,13:10:00,37374.77,-1.57E-02,-1
1/29/2021,13:20:00,37328.83,-1.23E-03,-1
1/29/2021,13:30:00,37457.74,3.45E-03,1
1/29/2021,13:40:00,37733.59,7.34E-03,1
1/29/2021,13:50:00,37733.6,2.65E-07,1
1/29/2021,13:20:00,37328.83,-0.00123,-1
1/29/2021,13:30:00,37457.74,0.003447,1
1/29/2021,13:40:00,37733.59,0.007337,1
1/29/2021,13:50:00,38000,0.007035,1
1/29/2021,14:00:00,38039.21,0.001031,1
1/29/2021,13:30:00,37457.74,0.003447,1
1/29/2021,13:40:00,37733.59,0.007337,1
1/29/2021,13:50:00,38000,0.007035,1
1/29/2021,14:00:00,38365.87,0.009582,1
1/29/2021,14:10:00,38382.47,0.000433,1
1/29/2021,13:40:00,37733.59,0.007337,1
1/29/2021,13:50:00,38000,0.007035,1
1/29/2021,14:00:00,38365.87,0.009582,1
1/29/2021,14:10:00,37927.36,-0.011496,-1
1/29/2021,14:20:00,37938.85,0.000303,1
1/29/2021,13:50:00,38000,0.007035,1
1/29/2021,14:00:00,38365.87,0.009582,1
1/29/2021,14:10:00,37927.36,-0.011496,-1
1/29/2021,14:20:00,37917.81,-0.000252,-1
1/29/2021,14:30:00,37916.27,-0.000041,-1
1/29/2021,14:00:00,38365.87,9.58E-03,1
1/29/2021,14:10:00,37927.36,-1.15E-02,-1
1/29/2021,14:20:00,37917.81,-2.52E-04,-1
1/29/2021,14:30:00,38168.05,6.58E-03,1
1/29/2021,14:40:00,38168.04,-2.62E-07,-1
1/29/2021,14:10:00,37927.36,-0.011496,-1
1/29/2021,14:20:00,37917.81,-0.000252,-1
1/29/2021,14:30:00,38168.05,0.006578,1
1/29/2021,14:40:00,37348.44,-0.021708,-1
1/29/2021,14:50:00,37346.28,-0.000058,-1
