<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,5,20201214,002500,19190.8,19213.1,19182.4,19186.5,0,0
BTC.V,5,20201214,003000,19184.9,19186.3,19155.8,19155.8,0,0
BTC.V,5,20201214,003500,19155.3,19157.2,19137.4,19137.4,0,0
BTC.V,5,20201214,004000,19130.9,19145.1,19116.4,19145.1,0,0
BTC.V,5,20201214,004500,19141.2,19169.1,19138.1,19166.7,0,0
BTC.V,5,20201214,005000,19169.1,19170.6,19159.1,19163.1,0,0
BTC.V,5,20201214,005500,19163.6,19167.4,19155.6,19167.4,0,0
BTC.V,5,20201214,010000,19169.6,19169.6,19123.5,19136.4,0,0
BTC.V,5,20201214,010500,19134.6,19134.6,19069.9,19081.3,0,0
BTC.V,5,20201214,011000,19082.8,19083.9,19062.3,19071.4,0,0
BTC.V,5,20201214,011500,19078.1,19091.5,19063.9,19091.5,0,0
BTC.V,5,20201214,012000,19093.3,19115.5,19080.2,19115.5,0,0
BTC.V,5,20201214,012500,19116.2,19116.2,19089.2,19089.2,0,0
BTC.V,5,20201214,013000,19092,19101,19078.7,19093.4,0,0
BTC.V,5,20201214,013500,19091.3,19091.3,19068.9,19071.4,0,0
BTC.V,5,20201214,014000,19080.4,19081.8,19067.8,19068.3,0,0
BTC.V,5,20201214,014500,19068.4,19068.4,19012.9,19022.7,0,0
BTC.V,5,20201214,015000,19025.7,19044.3,19010,19024.8,0,0
BTC.V,5,20201214,015500,19026.8,19054.8,19023.7,19050.1,0,0
BTC.V,5,20201214,020000,19050.1,19054.3,19016.3,19054.3,0,0
BTC.V,5,20201214,020500,19054.6,19084.4,19036.6,19036.6,0,0
BTC.V,5,20201214,021000,19038.9,19096.7,19030.7,19096.1,0,0
BTC.V,5,20201214,021500,19088.8,19096.2,19084.5,19084.5,0,0
BTC.V,5,20201214,022000,19086.6,19090.8,19050.2,19054.9,0,0
BTC.V,5,20201214,022500,19052,19100.2,19052,19086.2,0,0
BTC.V,5,20201214,023000,19092.3,19095,19085,19085.2,0,0
BTC.V,5,20201214,023500,19085.8,19104.2,19079.2,19103.2,0,0
BTC.V,5,20201214,024000,19103.1,19105.8,19096.8,19098.6,0,0
BTC.V,5,20201214,024500,19098.8,19098.8,19054.2,19068.5,0,0
BTC.V,5,20201214,025000,19067.9,19082.5,19056.1,19082.5,0,0
BTC.V,5,20201214,025500,19081,19089,19077.3,19086.3,0,0
BTC.V,5,20201214,030000,19087.6,19087.6,19060.7,19077.3,0,0
BTC.V,5,20201214,030500,19077.2,19107.6,19077.2,19107.6,0,0
BTC.V,5,20201214,031000,19108.8,19141,19108.8,19134.7,0,0
