<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,60,20200621,160000,9347.13,9352.44,9334.43,9350.42,0,0
BTC.V,60,20200621,170000,9349.13,9356.37,9339.61,9352.77,0,0
BTC.V,60,20200621,180000,9353.84,9387.7,9347.71,9370.66,0,0
BTC.V,60,20200621,190000,9370.14,9374.77,9344.14,9361.4,0,0
BTC.V,60,20200621,200000,9362.05,9363.22,9342.67,9345.19,0,0
BTC.V,60,20200621,210000,9344.97,9345.49,9312.32,9313.15,0,0
BTC.V,60,20200621,220000,9313.63,9350.22,9305.03,9343.93,0,0
BTC.V,60,20200621,230000,9343.77,9349.71,9305.92,9314.41,0,0
BTC.V,60,20200621,235900,9313.7,9334.79,9311.46,9328.56,0,0
BTC.V,60,20200622,010000,9328.63,9334.76,9290.94,9310.28,0,0
BTC.V,60,20200622,020000,9310.47,9310.47,9282.75,9292.51,0,0
BTC.V,60,20200622,030000,9292.52,9330.28,9283.31,9321.62,0,0
BTC.V,60,20200622,040000,9321,9382.24,9319.67,9382.02,0,0
BTC.V,60,20200622,050000,9383.35,9390.03,9365.96,9381.41,0,0
BTC.V,60,20200622,060000,9382.53,9385.23,9369.31,9379.9,0,0
BTC.V,60,20200622,070000,9381.65,9413.66,9376.19,9409.28,0,0
BTC.V,60,20200622,080000,9408.41,9445.5,9405.03,9419.3,0,0
BTC.V,60,20200622,090000,9420.09,9426.19,9403.42,9416.22,0,0
BTC.V,60,20200622,100000,9415.43,9435.08,9408.49,9419.69,0,0
BTC.V,60,20200622,110000,9419.87,9430.65,9406.79,9430.65,0,0
BTC.V,60,20200622,120000,9430.54,9432.32,9414.29,9418.37,0,0
BTC.V,60,20200622,130000,9417.79,9436.2,9412.27,9432.68,0,0
BTC.V,60,20200622,140000,9432.64,9467.06,9423.12,9453.49,0,0
BTC.V,60,20200622,150000,9455.35,9499.3,9450.28,9494.5,0,0
BTC.V,60,20200622,160000,9496.3,9509.33,9456.61,9469.16,0,0
BTC.V,60,20200622,170000,9467.18,9479.25,9462.43,9464.71,0,0
BTC.V,60,20200622,180000,9464.35,9497.96,9464.01,9488.97,0,0
BTC.V,60,20200622,190000,9490.45,9619.43,9478.65,9596.6,0,0
BTC.V,60,20200622,200000,9592.24,9606.94,9555.61,9594.91,0,0
BTC.V,60,20200622,210000,9593.97,9598.68,9576.52,9582.24,0,0
BTC.V,60,20200622,220000,9582.46,9593.65,9550.96,9567.19,0,0
BTC.V,60,20200622,230000,9566.76,9657.55,9566.75,9645.85,0,0
BTC.V,60,20200622,235900,9643.6,9773.86,9643.6,9690.25,0,0
BTC.V,60,20200623,010000,9689.26,9689.26,9642.56,9681.84,0,0
BTC.V,60,20200623,020000,9681.67,9698.25,9665.78,9690.78,0,0
BTC.V,60,20200623,030000,9690.55,9720.09,9662.43,9663.84,0,0
BTC.V,60,20200623,040000,9662.81,9668.15,9612.92,9637.08,0,0
BTC.V,60,20200623,050000,9639.7,9651.41,9626.25,9641.62,0,0
BTC.V,60,20200623,060000,9641.56,9653.86,9629.71,9653.11,0,0
BTC.V,60,20200623,070000,9653.11,9653.11,9624.98,9627.44,0,0
BTC.V,60,20200623,080000,9627.47,9638.18,9620.4,9620.4,0,0
BTC.V,60,20200623,090000,9620.82,9630.82,9617.15,9628.54,0,0
BTC.V,60,20200623,100000,9629.15,9663.02,9620.48,9662.03,0,0
BTC.V,60,20200623,110000,9662.03,9662.71,9582.77,9609.58,0,0
BTC.V,60,20200623,120000,9609.55,9614.99,9582.29,9606.76,0,0
BTC.V,60,20200623,130000,9605.9,9605.9,9581.07,9587.02,0,0
BTC.V,60,20200623,140000,9585.68,9642.17,9585.21,9634.73,0,0
