<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MATIC.V,D,20200903,000000,0.02334,0.02379,0.02029,0.02125,0,0
MATIC.V,D,20200904,000000,0.02125,0.02131,0.01767,0.01933,0,0
MATIC.V,D,20200905,000000,0.01933,0.02008,0.01697,0.01797,0,0
MATIC.V,D,20200906,000000,0.01797,0.01917,0.01713,0.01911,0,0
MATIC.V,D,20200907,000000,0.01901,0.01916,0.01712,0.01809,0,0
MATIC.V,D,20200908,000000,0.01809,0.01914,0.01753,0.01805,0,0
MATIC.V,D,20200909,000000,0.01806,0.02076,0.01766,0.02039,0,0
MATIC.V,D,20200910,000000,0.02039,0.02155,0.01992,0.02039,0,0
MATIC.V,D,20200911,000000,0.02039,0.02104,0.01962,0.02039,0,0
MATIC.V,D,20200912,000000,0.02039,0.02153,0.02033,0.02102,0,0
MATIC.V,D,20200913,000000,0.02102,0.02131,0.01913,0.01958,0,0
MATIC.V,D,20200914,000000,0.01958,0.02044,0.01947,0.02036,0,0
MATIC.V,D,20200915,000000,0.02037,0.02162,0.01999,0.02085,0,0
MATIC.V,D,20200916,000000,0.02075,0.02086,0.01932,0.02005,0,0
MATIC.V,D,20200917,000000,0.02006,0.02041,0.0193,0.02028,0,0
MATIC.V,D,20200918,000000,0.02017,0.02178,0.0198,0.02123,0,0
MATIC.V,D,20200919,000000,0.02123,0.02163,0.02052,0.02056,0,0
MATIC.V,D,20200920,000000,0.02056,0.02249,0.02029,0.02175,0,0
MATIC.V,D,20200921,000000,0.02175,0.02354,0.01842,0.01955,0,0
MATIC.V,D,20200922,000000,0.01955,0.01973,0.01847,0.01962,0,0
MATIC.V,D,20200923,000000,0.01963,0.01991,0.01749,0.01795,0,0
MATIC.V,D,20200924,000000,0.01795,0.01894,0.0172,0.01875,0,0
MATIC.V,D,20200925,000000,0.01875,0.01946,0.01828,0.01925,0,0
MATIC.V,D,20200926,000000,0.01936,0.01943,0.01866,0.01878,0,0
MATIC.V,D,20200927,000000,0.01877,0.01921,0.01802,0.01866,0,0
MATIC.V,D,20200928,000000,0.01868,0.02043,0.01858,0.0196,0,0
MATIC.V,D,20200929,000000,0.0196,0.02004,0.01856,0.01939,0,0
MATIC.V,D,20200930,000000,0.01939,0.02012,0.01902,0.01981,0,0
MATIC.V,D,20201001,000000,0.01981,0.02051,0.01812,0.01875,0,0
MATIC.V,D,20201002,000000,0.01875,0.0191,0.0173,0.01781,0,0
MATIC.V,D,20201003,000000,0.01781,0.01876,0.01772,0.01872,0,0
MATIC.V,D,20201004,000000,0.01874,0.0188,0.01826,0.01854,0,0
MATIC.V,D,20201005,000000,0.01843,0.01909,0.0184,0.0188,0,0
MATIC.V,D,20201006,000000,0.0188,0.0189,0.01687,0.01724,0,0
MATIC.V,D,20201007,000000,0.01724,0.01757,0.01647,0.01695,0,0
MATIC.V,D,20201008,000000,0.01695,0.01706,0.01546,0.01676,0,0
MATIC.V,D,20201009,000000,0.01676,0.0176,0.01616,0.01714,0,0
MATIC.V,D,20201010,000000,0.01714,0.01788,0.01691,0.01741,0,0
