trade_id,<CLOSE>,size,time,bid,ask,volume,std_dev
160733489,49066.26,0.00196583,2021-04-24T15:08:51.800508Z,49057.53,49057.54,16217.95371,20.69333863
160733989,49046.73,0.00017554,2021-04-24T15:09:21.293434Z,49037.18,49044,16234.01096,29.64151075
160734160,49079.9,0.01331982,2021-04-24T15:09:51.926699Z,49080.36,49099.05,16234.01096,21.11120024
160734337,49134.06,0.03224013,2021-04-24T15:10:21.500159Z,49134.05,49134.06,16256.29613,30.24087326
160734498,49132.47,0.00814799,2021-04-24T15:10:52.000601Z,49131.18,49132.47,16256.29613,35.39810085
160734701,49111.28,0.00161721,2021-04-24T15:11:21.928948Z,49106.15,49111.28,16262.78048,33.40473942
160734880,49181.37,0.0019628,2021-04-24T15:11:52.124011Z,49175.87,49181.37,16270.51697,33.16039963
160735005,49185.61,0.017,2021-04-24T15:12:21.699858Z,49176.68,49176.69,16270.51697,29.3507856
160735119,49201.58,0.0099615,2021-04-24T15:12:51.431391Z,49201.57,49201.58,16275.85873,34.47514315
160735237,49191.54,0.00716237,2021-04-24T15:13:21.825575Z,49175.25,49177.97,16275.85873,32.2205975
160735344,49180.23,0.00271027,2021-04-24T15:13:51.60455Z,49180.22,49180.23,16278.54277,7.835408321
160735484,49188.48,0.0047041,2021-04-24T15:14:21.77407Z,49182.21,49188.18,16282.81827,7.102009262
160735633,49172.63,0.00088004,2021-04-24T15:14:51.624076Z,49165.46,49168.56,16282.81827,9.875726584
160735741,49231.44,0.00389032,2021-04-24T15:15:21.968773Z,49226.42,49231.44,16287.39257,20.38682377
160735885,49251.25,0.00228706,2021-04-24T15:15:51.735811Z,49251.25,49251.26,16287.39257,30.89410338
160736055,49294.6,0.00076702,2021-04-24T15:16:21.03333Z,49305.18,49305.19,16301.20839,43.85227793
160736231,49340.18,0.00201967,2021-04-24T15:16:51.478241Z,49340.17,49340.18,16305.72389,56.80166089
