trade_id,price,size,time,bid,ask,volume,std_dev
158137762,56257.21,0.00041568,2021-04-19T21:16:33.52587Z,56257.83,56257.85,16578.42550904,13.484364877236816
158137892,56219.07,0.00171668,2021-04-19T21:17:05.911215Z,56211.77,56218.49,16581.51343991,28.082328680900133
158138013,56209.69,0.00871856,2021-04-19T21:17:32.621382Z,56209.68,56209.69,16581.51343991,34.752811686850144
158138143,56169.5,0.00171781,2021-04-19T21:18:05.579995Z,56169.49,56169.5,16585.99606157,40.1377555942177
158138286,56157.14,0.02968297,2021-04-19T21:18:35.855924Z,56155.76,56159.26,16590.84513029,35.96101300214616
158138404,56159.08,0.00175978,2021-04-19T21:19:05.753703Z,56154.53,56159.08,16590.84513029,26.216418217220554
158138513,56159.08,0.13964631,2021-04-19T21:19:35.554415Z,56159.07,56159.08,16595.53034117,19.87655141467124
158138663,56161.47,0.00395677,2021-04-19T21:20:05.559837Z,56160.91,56170.25,16595.53034117,4.345589044064123
158138839,56174.66,0.00177104,2021-04-19T21:20:36.026753Z,56174.21,56174.65,16599.10258597,6.337506145158896
158139015,56160.61,0.04081547,2021-04-19T21:21:05.105971Z,56160.61,56166.57,16605.0361449,5.911673209839544
158139165,56159.07,0.00171863,2021-04-19T21:21:35.002355Z,56159.06,56159.07,16605.0361449,5.912993838990341
158139344,56167.65,0.0004204,2021-04-19T21:22:04.252074Z,56167.65,56167.66,16611.1212776,5.77514814874573
158139628,56124.49,0.00188219,2021-04-19T21:22:35.156577Z,56124.49,56124.5,16611.1212776,17.315179009757315
158139914,56115.74,0.00824155,2021-04-19T21:23:04.72213Z,56101.73,56108.35,16619.57941961,21.119453026530536
158140146,56100.56,0.00928271,2021-04-19T21:23:35.111835Z,56100.56,56108.27,16628.22659734,25.697037497340887
158140344,56099.48,0.00393221,2021-04-19T21:24:04.747879Z,56093.17,56098.96,16628.22659734,24.88079146931587
158140591,56099.04,0.00085167,2021-04-19T21:24:34.743527Z,56092.47,56099.04,16634.13463139,10.391901468902162
158140866,56040.69,0.00231438,2021-04-19T21:25:04.468197Z,56040.69,56040.7,16634.13463139,25.96558214520175
158141069,56042.25,0.0040878,2021-04-19T21:25:36.322844Z,56047.31,56052.98,16647.02495456,28.532045565279095
158141347,56044.81,0.00264604,2021-04-19T21:26:04.47054Z,56036.73,56044.78,16653.78194802,27.797280876716393
158141610,56029.52,0.00172262,2021-04-19T21:26:34.939975Z,56019.73,56029.52,16653.78194802,24.454298111761556
158141903,55976.8,0.00351402,2021-04-19T21:27:06.89744Z,55965.69,55975.57,16661.30863781,25.547571785562308
158142214,55942.95,0.00525729,2021-04-19T21:27:36.844927Z,55938.23,55942.95,16668.9367119,40.48060701296496
158142569,55897.83,0.20347893,2021-04-19T21:28:07.001524Z,55897.82,55897.83,16668.9367119,54.35867599691435
158143125,55927.25,0.0005,2021-04-19T21:28:36.724696Z,55927.24,55927.25,16692.1628863,45.193052122390405
158143587,55900,0.412014,2021-04-19T21:29:06.047097Z,55900.25,55904.45,16692.1628863,29.308934203357065
158143792,55845,0.01753466,2021-04-19T21:29:37.198558Z,55844.99,55845,16709.45172192,33.41561826655764
158143961,55804.96,0.00248531,2021-04-19T21:30:06.618811Z,55804.96,55804.97,16721.20551676,44.004255886629586
158144067,55809.57,0.00119478,2021-04-19T21:30:36.892656Z,55809.56,55809.57,16721.20551676,48.75488759227847
158144218,55825,0.01651053,2021-04-19T21:31:06.035538Z,55825,55825.01,16726.68318327,34.513540301386655
158144390,55886.81,0.00273575,2021-04-19T21:31:36.803537Z,55886.8,55886.81,16726.68318327,29.76804824195474
158144506,55938.94,0.00046275,2021-04-19T21:32:05.359365Z,55938.93,55938.94,16739.3374267,51.9745909472659
158144634,55971.01,0.00350298,2021-04-19T21:32:36.285947Z,55971,55971.01,16743.46975863,62.59742953297638
158144775,55991.01,0.00875584,2021-04-19T21:33:06.816485Z,55991,55991.01,16743.46975863,60.16165775754752
158144917,55993.1,0.00085302,2021-04-19T21:33:36.808575Z,55993.09,55993.1,16746.35265702,39.7631953461542
158145034,55996.99,0.02563304,2021-04-19T21:34:06.449767Z,55996.98,55996.99,16746.35265702,21.597284091671334
158145184,56010.47,0.0017235,2021-04-19T21:34:36.997302Z,56002.82,56010.47,16749.02639574,12.708107024119558
158145363,56056.94,0.00085243,2021-04-19T21:35:06.228633Z,56041.91,56056.89,16752.0351237,24.570839141890804
